,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distSrc1,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,Statistic.distSrc2,UAV1x,UAV1y,UAV1z,UAV2x,UAV2y,UAV2z
792,33667,"log[1, 1, 0, 0, 0, 1]",801,330,163,155,74,1,0,0,0,0,-1,255,1.002935,0.4143091,0.5205228,0.25739646,0.40571252,0.52726805
793,42608,log0,0,0,0,0,-1,255,623,391,177,209,67,1,1.0025016,0.41462743,0.5199214,0.25482875,0.40529284,0.5269793
794,33707,"log[1, 1, 0, 0, 0, 1]",802,331,164,155,71,1,0,0,0,0,-1,255,1.0021795,0.4155116,0.5206995,0.25388765,0.403531,0.5275154
795,33747,"log[1, 1, 0, 0, 0, 1]",802,331,164,155,71,1,0,0,0,0,-1,255,1.0018595,0.41666758,0.5205171,0.25128806,0.40395382,0.5255435
796,42648,log0,0,0,0,0,-1,255,624,392,178,209,72,1,,,,1.0036769,0.43448827,0.50846064
797,42688,log0,0,0,0,0,-1,255,624,392,178,209,72,1,0.25376186,0.40988392,0.5256643,0.9996859,0.431585,0.50894785
798,33787,"log[1, 1, 0, 0, 0, 1]",803,332,165,155,73,1,0,0,0,0,-1,255,,,,1.0043424,0.43579182,0.5083314
799,42728,log0,0,0,0,0,-1,255,624,392,178,209,72,1,,,,1.0050769,0.43682426,0.5083131
800,33827,"log[1, 1, 0, 0, 0, 1]",804,333,165,156,73,2,0,0,0,0,-1,255,,,,1.0053079,0.43701002,0.50837946
801,42768,log0,0,0,0,0,-1,255,624,392,178,209,72,1,0.25149345,0.38636306,0.52918684,1.0054978,0.4376367,0.5087066
802,33867,"log[1, 1, 0, 0, 0, 1]",805,334,165,157,74,2,0,0,0,0,-1,255,0.25062308,0.405444,0.5276209,1.0067403,0.4388857,0.5081615
803,42808,log0,0,0,0,0,-1,255,627,393,178,210,73,2,0.24218957,0.41737166,0.5236327,1.0072063,0.4391498,0.50803363
804,33907,"log[1, 1, 0, 0, 0, 1]",805,334,165,157,74,2,0,0,0,0,-1,255,0.23047799,0.39001584,0.53066295,1.0078034,0.43906027,0.5076661
805,33947,"log[1, 1, 0, 0, 0, 1]",805,334,165,157,74,2,0,0,0,0,-1,255,0.24904825,0.40496796,0.52728647,1.0056113,0.43615332,0.5074931
806,42848,log0,0,0,0,0,-1,255,628,394,179,210,74,1,0.24942869,0.40503186,0.52831024,1.0063941,0.43603557,0.5074408
807,33987,"log[1, 1, 0, 0, 0, 1]",805,334,165,157,74,2,0,0,0,0,-1,255,0.2495833,0.40548968,0.52974147,1.0076904,0.43690556,0.50721806
808,42888,log0,0,0,0,0,-1,255,629,395,179,211,74,2,0.24994285,0.4071225,0.5285465,1.0093259,0.43700412,0.50661135
809,42928,log0,0,0,0,0,-1,255,629,395,179,211,74,2,0.24854204,0.406824,0.5294582,1.010119,0.43742895,0.50558805
810,34027,"log[1, 1, 0, 0, 0, 1]",808,335,165,158,74,2,0,0,0,0,-1,255,0.2480532,0.40736982,0.5303509,1.0109602,0.43760148,0.5058065
811,42968,log0,0,0,0,0,-1,255,630,396,180,211,75,1,0.24942099,0.40889135,0.5295966,1.0116918,0.4370346,0.5056169
812,34067,"log[1, 1, 0, 0, 0, 1]",808,335,165,158,74,2,0,0,0,0,-1,255,0.24464004,0.39166692,0.5314126,1.0140507,0.43659827,0.5058964
813,43008,log0,0,0,0,0,-1,255,631,397,180,212,74,2,0.24304426,0.39344892,0.53089863,1.0156312,0.43610868,0.5062784
814,34107,"log[1, 1, 0, 0, 0, 1]",808,335,165,158,74,2,0,0,0,0,-1,255,0.24346231,0.39371634,0.5317585,1.0163767,0.43579975,0.5057461
815,34147,"log[1, 1, 0, 0, 0, 1]",808,335,165,158,74,2,0,0,0,0,-1,255,0.24395753,0.39402938,0.53271186,1.0174402,0.43669617,0.50479496
816,43048,log0,0,0,0,0,-1,255,632,398,180,213,73,2,0.24335071,0.39537108,0.53255486,1.0190352,0.4358825,0.5049699
817,43088,log0,0,0,0,0,-1,255,632,398,180,213,73,2,0.24171942,0.39736384,0.5320977,1.0204568,0.43438724,0.5057262
818,34187,"log[1, 1, 0, 0, 0, 1]",811,336,166,158,63,1,0,0,0,0,-1,255,0.24421495,0.41541028,0.53212035,1.0210161,0.43484685,0.5054833
819,43128,log0,0,0,0,0,-1,255,632,398,180,213,73,2,1.0316814,0.4302982,0.5017596,1.0226446,0.43426418,0.5058379
820,34227,"log[1, 1, 0, 0, 0, 1]",812,337,166,159,80,2,0,0,0,0,-1,255,0.23933844,0.40138963,0.5386628,1.0232123,0.4338391,0.5059186
821,43168,log0,0,0,0,0,-1,255,634,399,181,213,79,1,1.0188068,0.42200527,0.5101598,0.23434363,0.41513538,0.5305267
822,34267,"log[1, 1, 0, 0, 0, 1]",813,338,166,160,79,2,0,0,0,0,-1,255,1.0200887,0.42169785,0.5108277,0.2326256,0.4161871,0.5301013
823,43208,log0,0,0,0,0,-1,255,634,399,181,213,79,1,1.0203304,0.42155337,0.51197577,0.22999044,0.41677254,0.530523
824,34307,"log[1, 1, 0, 0, 0, 1]",814,339,167,160,75,1,0,0,0,0,-1,255,0.21438178,0.4065517,0.53258324,1.0288038,0.43663764,0.5122882
825,43248,log0,0,0,0,0,-1,255,634,399,181,213,79,1,,,,1.028798,0.43575805,0.5130597
826,34347,"log[1, 1, 0, 0, 0, 1]",814,339,167,160,75,1,0,0,0,0,-1,255,,,,1.0268075,0.42497575,0.50972164
827,43288,log0,0,0,0,0,-1,255,634,399,181,213,79,1,0.2088946,0.40766346,0.5356023,1.0307193,0.43371528,0.5083422
828,34387,"log[1, 1, 0, 0, 0, 1]",815,340,167,161,73,2,0,0,0,0,-1,255,0.2051337,0.40904883,0.53550625,1.0307095,0.43253976,0.50884473
829,43328,log0,0,0,0,0,-1,255,634,399,181,213,79,1,1.0195878,0.4161135,0.51157373,0.20682426,0.41147938,0.5384802
