,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z
907,62684,0,,,,,,-0.03567108,1.2070023,0.46420845,1.2936832780134777,695.0,601.0,596.0,0.0,205.0,0.3700093,-0.86943614,0.4425991
908,72007,1,603.0,602.0,596.0,0.0,206.0,-0.034829628,1.2059038,0.4656593,1.2931572127248898,,,,,,0.37014958,-0.8640113,0.44237775
909,62784,0,,,,,,-0.034386963,1.2064472,0.4651066,1.293453350686984,696.0,602.0,597.0,0.0,207.0,0.37036362,-0.8599459,0.44611064
910,72107,1,604.0,603.0,597.0,0.0,207.0,-0.033699386,1.206189,0.46607336,1.2935424309664836,,,,,,0.3719846,-0.8405931,0.4414655
911,62884,0,,,,,,-0.033507094,1.2074182,0.46627453,1.29475610837221,697.0,603.0,598.0,0.0,205.0,0.37227774,-0.818327,0.43778098
912,72207,1,605.0,604.0,598.0,0.0,203.0,-0.03287368,1.2082224,0.4668365,1.2956922279625076,,,,,,0.37417707,-0.784377,0.43499368
913,62984,0,,,,,,-0.032906193,1.2086413,0.46714735,1.2961956773415821,698.0,604.0,599.0,0.0,201.0,0.37576973,-0.75551593,0.42973724
914,72307,1,606.0,605.0,599.0,0.0,197.0,-0.03247184,1.2086617,0.46729696,1.2962576568672735,,,,,,0.376318,-0.74120486,0.42801374
915,63084,0,,,,,,-0.03232871,1.2089149,0.46764106,1.296614237054038,699.0,605.0,600.0,0.0,194.0,0.37868583,-0.71780884,0.4279397
916,72407,1,607.0,606.0,600.0,0.0,188.0,-0.03330134,1.2108464,0.46742812,1.2983632339989,,,,,,0.3821855,-0.6168686,0.42278892
917,63184,0,,,,,,-0.032878745,1.2115166,0.46744123,1.2989822299791547,700.0,606.0,601.0,0.0,185.0,0.38376707,-0.5757743,0.4210951
918,72507,1,608.0,607.0,601.0,0.0,178.0,-0.033310615,1.2115932,0.4671595,1.298963266716617,,,,,,0.3863081,-0.5362993,0.42257985
919,63284,0,,,,,,-0.033364803,1.2120715,0.46715575,1.2994095283002065,701.0,607.0,602.0,0.0,173.0,0.3894423,-0.475999,0.42493618
920,72607,1,609.0,608.0,602.0,0.0,167.0,-0.033736415,1.2129748,0.4666095,1.3000655413444548,,,,,,0.3930749,-0.42515156,0.42849067
921,63384,0,,,,,,-0.034165483,1.2122076,0.46718895,1.299569143048649,702.0,608.0,603.0,0.0,164.0,0.39492074,-0.37656766,0.43210578
922,72707,1,610.0,609.0,603.0,0.0,161.0,-0.034107193,1.2142107,0.46630892,1.3011206912392925,,,,,,0.39880776,-0.31601962,0.4372237
923,63484,0,,,,,,-0.033820745,1.214,0.46694216,1.3011436478605996,703.0,609.0,604.0,0.0,157.0,0.39945167,-0.28826106,0.4394562
924,72807,1,611.0,610.0,604.0,0.0,153.0,-0.03352183,1.2155491,0.46545216,1.302048030087487,,,,,,0.40244696,-0.22015569,0.44404984
925,63584,0,,,,,,-0.03310391,1.216525,0.46501705,1.3027930384355992,704.0,610.0,605.0,0.0,147.0,0.40278378,-0.20230573,0.44553593
926,72907,1,612.0,611.0,605.0,0.0,139.0,-0.032846488,1.2168664,0.46388373,1.302701338333354,,,,,,,,
927,63684,0,,,,,,-0.031703,1.2161586,0.46396327,1.3020402473875374,705.0,611.0,606.0,0.0,137.0,,,
928,73007,1,613.0,612.0,606.0,0.0,137.0,-0.029915556,1.2182529,0.46144876,1.3030617864221101,,,,,,0.40428725,-0.041255664,0.45094156
929,63784,0,,,,,,-0.029325463,1.2186363,0.46081796,1.3031836197643918,706.0,612.0,607.0,0.0,135.0,0.40399528,-0.016139211,0.45171195
930,73107,1,614.0,613.0,607.0,0.0,129.0,-0.028480297,1.219252,0.45917365,1.3031603829346339,,,,,,0.40334317,0.0438846,0.44978723
931,63884,0,,,,,,-0.02825554,1.2200869,0.45776355,1.3034408186877773,707.0,613.0,608.0,0.0,123.0,0.40182903,0.07560357,0.45092285
932,73207,1,615.0,614.0,608.0,0.0,116.0,-0.026799027,1.2201297,0.4571992,1.3032520237940892,,,,,,0.40231368,0.12130341,0.4468845
933,63984,0,,,,,,-0.026550567,1.2204049,0.4569991,1.303434361360259,708.0,614.0,609.0,0.0,111.0,0.4022165,0.14680675,0.4454718
934,73307,1,616.0,615.0,609.0,0.0,107.0,-0.025807472,1.2213031,0.4551211,1.303603665373413,,,,,,0.40293148,0.21425553,0.44367942
935,64084,0,,,,,,-0.025945231,1.2213393,0.4554705,1.3037623744975249,709.0,615.0,610.0,0.0,108.0,0.40401495,0.23000477,0.4443333
936,73407,1,617.0,616.0,610.0,0.0,107.0,-0.025834735,1.2229815,0.4544605,1.3049465182053437,,,,,,0.40572536,0.29759496,0.44290298
937,64184,0,,,,,,-0.026129032,1.2231557,0.45440543,1.3050965386231583,710.0,616.0,611.0,0.0,104.0,0.406828,0.31322762,0.44315538
938,73507,1,618.0,617.0,611.0,0.0,96.0,-0.026347669,1.2236177,0.4540687,1.3054167092784417,,,,,,0.40947744,0.36354885,0.44582888
939,64284,0,,,,,,-0.026444672,1.2237862,0.45387706,1.305510036856784,711.0,617.0,612.0,0.0,92.0,0.41233227,0.3895949,0.4478754
940,73607,1,619.0,618.0,612.0,0.0,90.0,-0.026195828,1.2237844,0.45408547,1.3055758142685154,,,,,,0.41647112,0.42685765,0.4480547
941,64384,0,,,,,,-0.0266143,1.2237186,0.45381778,1.3054295157104698,712.0,618.0,613.0,0.0,89.0,0.41850045,0.44029987,0.44769478
942,73707,1,620.0,619.0,613.0,0.0,87.0,-0.026664095,1.2235878,0.45366704,1.3052554335080333,,,,,,0.42341402,0.46094215,0.44497153
943,64484,0,,,,,,-0.026668914,1.2236261,0.45360962,1.3052715567647177,713.0,619.0,614.0,0.0,84.0,0.4259444,0.47213215,0.44214025
944,73807,1,621.0,620.0,614.0,0.0,83.0,-0.026482997,1.2236593,0.45340696,1.3052284269124002,,,,,,0.4304024,0.48574054,0.43742594
945,64584,0,,,,,,-0.026134243,1.2243274,0.45280764,1.3056398606431858,714.0,620.0,615.0,0.0,82.0,0.43366027,0.49408355,0.4339387
946,73907,1,622.0,621.0,615.0,0.0,83.0,-0.0251181,1.2243974,0.45251706,1.3055847942494823,,,,,,0.4369682,0.5021441,0.43072012
947,64684,0,,,,,,-0.024712376,1.2241486,0.45202485,1.3051731820355368,715.0,621.0,616.0,0.0,84.0,0.43976316,0.50722253,0.430981
948,74007,1,623.0,622.0,616.0,0.0,84.0,-0.024103183,1.224507,0.45142788,1.3052913166976239,,,,,,0.44270122,0.51417756,0.43153664
