,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.computenum2,Statistic.recvSeq13,Statistic.recvNum13,Statistic.computenum13
5864,99191,log1,1883,1838,436,0,0,0
5865,96737,log0,0,0,0,3220,3091,440
5866,99221,log1,1884,1839,436,0,0,0
5867,96767,log0,0,0,0,3221,3092,440
5868,99251,log1,1884,1839,436,0,0,0
5869,96797,log0,0,0,0,3222,3093,440
5870,99281,log1,1885,1840,436,0,0,0
5871,96827,log0,0,0,0,3223,3094,440
5872,99311,log1,1886,1841,436,0,0,0
5873,96857,log0,0,0,0,3224,3095,440
5874,99341,log1,1886,1841,436,0,0,0
5875,96887,log0,0,0,0,3225,3096,440
5876,99371,log1,1887,1842,437,0,0,0
5877,96917,log0,0,0,0,3226,3097,440
5878,99401,log1,1887,1842,437,0,0,0
5879,96947,log0,0,0,0,3227,3098,441
5880,99431,log1,1888,1843,437,0,0,0
5881,96977,log0,0,0,0,3228,3099,441
5882,99461,log1,1889,1844,437,0,0,0
5883,97007,log0,0,0,0,3229,3100,441
5884,99491,log1,1889,1844,437,0,0,0
5885,97037,log0,0,0,0,3230,3101,441
5886,99521,log1,1890,1845,437,0,0,0
5887,97067,log0,0,0,0,3231,3102,441
5888,99551,log1,1890,1845,437,0,0,0
5889,97097,log0,0,0,0,3232,3103,441
5890,99581,log1,1891,1846,438,0,0,0
5891,97127,log0,0,0,0,3233,3104,441
5892,99611,log1,1892,1847,438,0,0,0
5893,97157,log0,0,0,0,3234,3105,442
5894,99641,log1,1892,1847,438,0,0,0
5895,97187,log0,0,0,0,3235,3106,442
5896,99671,log1,1893,1848,438,0,0,0
5897,97217,log0,0,0,0,3236,3107,442
5898,99701,log1,1893,1848,438,0,0,0
5899,97247,log0,0,0,0,3237,3108,442
5900,99731,log1,1894,1849,438,0,0,0
5901,97277,log0,0,0,0,3238,3109,442
5902,99761,log1,1895,1850,439,0,0,0
5903,97307,log0,0,0,0,3239,3110,442
5904,99791,log1,1895,1850,439,0,0,0
5905,97337,log0,0,0,0,3240,3111,442
5906,99821,log1,1896,1851,439,0,0,0
5907,97367,log0,0,0,0,3241,3112,443
5908,99851,log1,1896,1851,439,0,0,0
5909,97397,log0,0,0,0,3242,3113,443
5910,99881,log1,1897,1852,439,0,0,0
5911,97427,log0,0,0,0,3243,3114,443
5912,99911,log1,1898,1853,439,0,0,0
5913,97457,log0,0,0,0,3244,3115,443
5914,99941,log1,1898,1853,439,0,0,0
5915,97487,log0,0,0,0,3245,3116,443
5916,99971,log1,1899,1854,440,0,0,0
5917,97517,log0,0,0,0,3246,3117,443
5918,100001,log1,1899,1854,440,0,0,0
5919,97547,log0,0,0,0,3247,3118,443
5920,100031,log1,1900,1855,440,0,0,0
5921,97577,log0,0,0,0,3248,3119,444
5922,100061,log1,1901,1856,440,0,0,0
5923,97607,log0,0,0,0,3249,3120,444
5924,100091,log1,1901,1856,440,0,0,0
5925,97637,log0,0,0,0,3250,3121,444
5926,100121,log1,1902,1857,440,0,0,0
5927,97667,log0,0,0,0,3251,3122,444
5928,100151,log1,1902,1857,440,0,0,0
5929,97697,log0,0,0,0,3252,3123,444
5930,100181,log1,1903,1858,441,0,0,0
5931,97727,log0,0,0,0,3253,3124,444
5932,100211,log1,1904,1859,441,0,0,0
5933,97757,log0,0,0,0,3254,3125,444
5934,100241,log1,1904,1859,441,0,0,0
5935,97787,log0,0,0,0,3255,3126,445
5936,100271,log1,1905,1860,441,0,0,0
5937,97817,log0,0,0,0,3256,3127,445
5938,100301,log1,1905,1860,441,0,0,0
5939,97847,log0,0,0,0,3257,3128,445
5940,100331,log1,1906,1861,441,0,0,0
5941,97877,log0,0,0,0,3258,3129,445
5942,100361,log1,1907,1862,442,0,0,0
5943,97907,log0,0,0,0,3259,3130,445
5944,100391,log1,1907,1862,442,0,0,0
5945,97937,log0,0,0,0,3260,3131,445
5946,100421,log1,1908,1863,442,0,0,0
5947,97967,log0,0,0,0,3261,3132,445
5948,100451,log1,1908,1863,442,0,0,0
5949,97997,log0,0,0,0,3262,3133,446
5950,100481,log1,1909,1864,442,0,0,0
5951,98027,log0,0,0,0,3263,3134,446
5952,100511,log1,1910,1865,442,0,0,0
5953,98057,log0,0,0,0,3264,3135,446
5954,100541,log1,1910,1865,442,0,0,0
5955,98087,log0,0,0,0,3265,3136,446
5956,100571,log1,1911,1866,443,0,0,0
5957,98117,log0,0,0,0,3266,3137,446
5958,100601,log1,1911,1866,443,0,0,0
5959,98147,log0,0,0,0,3267,3138,446
5960,100631,log1,1912,1867,443,0,0,0
5961,98177,log0,0,0,0,3268,3139,446
5962,100661,log1,1913,1868,443,0,0,0
5963,98207,log0,0,0,0,3269,3140,447
5964,100691,log1,1913,1868,443,0,0,0
5965,98237,log0,0,0,0,3270,3141,447
5966,100721,log1,1914,1869,443,0,0,0
5967,98267,log0,0,0,0,3271,3142,447
5968,100751,log1,1914,1869,443,0,0,0
5969,98297,log0,0,0,0,3272,3143,447
5970,100781,log1,1915,1870,444,0,0,0
5971,98327,log0,0,0,0,3273,3144,447
5972,100811,log1,1916,1871,444,0,0,0
5973,98357,log0,0,0,0,3274,3145,447
5974,100841,log1,1916,1871,444,0,0,0
5975,98387,log0,0,0,0,3275,3146,447
5976,100871,log1,1917,1872,444,0,0,0
5977,98417,log0,0,0,0,3276,3147,448
5978,100901,log1,1917,1872,444,0,0,0
5979,98447,log0,0,0,0,3277,3148,448
5980,100931,log1,1918,1873,444,0,0,0
5981,98477,log0,0,0,0,3278,3149,448
5982,100961,log1,1919,1874,445,0,0,0
5983,98507,log0,0,0,0,3279,3150,448
5984,100991,log1,1919,1874,445,0,0,0
5985,98537,log0,0,0,0,3280,3151,448
5986,101021,log1,1920,1875,445,0,0,0
5987,98567,log0,0,0,0,3281,3152,448
5988,101051,log1,1920,1875,445,0,0,0
5989,98597,log0,0,0,0,3282,3153,448
5990,101081,log1,1921,1876,445,0,0,0
5991,98627,log0,0,0,0,3283,3154,449
5992,101111,log1,1922,1877,445,0,0,0
5993,98657,log0,0,0,0,3284,3155,449
5994,101141,log1,1922,1877,445,0,0,0
5995,98687,log0,0,0,0,3285,3156,449
5996,101171,log1,1923,1878,446,0,0,0
5997,98717,log0,0,0,0,3286,3157,449
5998,101201,log1,1923,1878,446,0,0,0
5999,98747,log0,0,0,0,3287,3158,449
6000,101231,log1,1924,1879,446,0,0,0
6001,98777,log0,0,0,0,3288,3159,449
6002,101261,log1,1925,1880,446,0,0,0
6003,98807,log0,0,0,0,3289,3160,449
6004,101291,log1,1925,1880,446,0,0,0
6005,98837,log0,0,0,0,3290,3161,450
6006,101321,log1,1926,1881,446,0,0,0
6007,98867,log0,0,0,0,3291,3162,450
6008,101351,log1,1926,1881,446,0,0,0
6009,98897,log0,0,0,0,3292,3163,450
6010,101381,log1,1927,1882,447,0,0,0
6011,98927,log0,0,0,0,3293,3164,450
