,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
139,221848,0,475.0,1221.0,1206.0,2.0,103.0,0.41428384,0.057969287,0.6419134,0.7661882085567101,,,,,
140,73708,1,,,,,,0.4146345,0.058019623,0.640869,0.7655071159259536,1463.0,474.0,468.0,0.0,94.0
141,221948,0,476.0,1222.0,1207.0,2.0,94.0,0.4195872,0.0638882,0.6364141,0.7649562317152399,,,,,
142,73808,1,,,,,,0.42002016,0.065334044,0.6367294,0.7655781005543026,1464.0,475.0,469.0,0.0,95.0
143,222048,0,477.0,1223.0,1208.0,2.0,102.0,0.42613345,0.07412082,0.63842547,0.7711489456369122,,,,,
144,73908,1,,,,,,0.42699388,0.074026994,0.6379911,0.7712563600968929,1464.0,475.0,469.0,0.0,95.0
145,74008,1,,,,,,0.43116137,0.08209901,0.64389294,0.7792550939169544,1465.0,476.0,470.0,0.0,99.0
146,222148,0,477.0,1223.0,1208.0,2.0,102.0,0.431679,0.0830711,0.6448089,0.7804012287893562,,,,,
147,74108,1,,,,,,0.4328205,0.08701881,0.6496159,0.7854340546201044,1466.0,477.0,471.0,0.0,103.0
148,222248,0,478.0,1224.0,1209.0,2.0,105.0,0.43265754,0.08710449,0.64995235,0.785632101700926,,,,,
149,222348,0,479.0,1225.0,1210.0,2.0,105.0,0.43023914,0.08742924,0.65317506,0.7870115909314239,,,,,
150,74208,1,,,,,,0.42967606,0.08755043,0.6536116,0.7870798658656372,1466.0,477.0,471.0,0.0,103.0
151,222448,0,479.0,1225.0,1210.0,2.0,105.0,0.42490977,0.0839388,0.65353245,0.7840272268225812,,,,,
152,74308,1,,,,,,0.4245538,0.08258501,0.65270513,0.7830007745009289,1467.0,478.0,472.0,0.0,101.0
153,74408,1,,,,,,0.41753146,0.0764681,0.6521682,0.7781409069173986,1468.0,479.0,473.0,0.0,100.0
154,222548,0,480.0,1226.0,1211.0,2.0,103.0,-0.114804946,-0.88320774,0.69022566,1.1267863806404361,,,,,
155,74508,1,,,,,,0.40789136,0.067389585,0.6519086,0.7719465734162675,1468.0,479.0,473.0,0.0,100.0
156,222648,0,481.0,1227.0,1212.0,2.0,101.0,0.40714288,0.066698484,0.6520174,0.7715832550345582,,,,,
157,222748,0,481.0,1227.0,1212.0,2.0,101.0,-0.114792116,-0.88310325,0.6899099,1.1265097508639652,,,,,
158,74608,1,,,,,,-0.11478606,-0.88310415,0.6899239,1.1265184129577548,1469.0,480.0,474.0,0.0,98.0
159,222848,0,482.0,1228.0,1213.0,2.0,101.0,-0.11477449,-0.8831379,0.6899264,1.1265452140063248,,,,,
160,74708,1,,,,,,-0.11478071,-0.8831336,0.68992835,1.126543688195142,1470.0,481.0,475.0,0.0,97.0
161,74808,1,,,,,,0.38709828,0.048301112,0.65318334,0.7608065159938514,1470.0,481.0,475.0,0.0,97.0
162,222948,0,483.0,1229.0,1214.0,2.0,98.0,0.38696757,0.04918949,0.6539906,0.7614901477427978,,,,,
163,223048,0,483.0,1229.0,1214.0,2.0,98.0,0.39087528,0.05730319,0.6540673,0.7641146144922659,,,,,
164,74908,1,,,,,,0.3919159,0.05898293,0.65364885,0.7644173418560574,1471.0,482.0,476.0,0.0,96.0
