,timestamp,logNumber,Statistic.recvSeq13,Statistic.recvNum13,Statistic.compute1num13,Statistic.compute2num13
171,25045,log0,460,371,363,3
172,25105,log0,461,372,364,3
173,25165,log0,462,373,365,3
174,25225,log0,463,374,366,3
175,25285,log0,464,375,367,3
176,25345,log0,465,376,368,3
177,25405,log0,466,377,369,3
178,25465,log0,467,378,370,3
179,25525,log0,468,379,371,3
180,25585,log0,469,380,372,3
181,25645,log0,470,381,373,3
182,25705,log0,471,382,374,3
183,25765,log0,472,383,375,3
184,25825,log0,473,384,376,3
185,25885,log0,474,385,377,3
186,25945,log0,475,386,378,3
187,26005,log0,476,387,379,3
188,26065,log0,477,388,380,3
189,26125,log0,478,389,381,3
190,26185,log0,479,390,382,3
191,26245,log0,480,391,383,3
192,26305,log0,481,392,384,3
193,26365,log0,482,393,385,3
194,26425,log0,483,394,386,3
195,26485,log0,484,395,387,3
196,26545,log0,485,396,388,3
197,26605,log0,486,397,389,3
198,26665,log0,487,398,390,3
199,26725,log0,488,399,391,3
200,26785,log0,489,400,392,3
201,26845,log0,490,401,393,3
202,26905,log0,491,402,394,3
203,26965,log0,492,403,395,3
204,27025,log0,493,404,396,3
205,27085,log0,494,405,397,3
206,27145,log0,495,406,398,3
207,27205,log0,496,407,399,3
208,27265,log0,497,408,400,3
209,27325,log0,498,409,401,3
210,27385,log0,499,410,402,3
211,27445,log0,500,411,403,3
212,27505,log0,501,412,404,3
213,27565,log0,502,413,405,3
214,27625,log0,503,414,406,3
215,27685,log0,504,415,407,3
216,27745,log0,505,416,408,3
217,27805,log0,506,417,409,3
218,27865,log0,507,418,410,3
219,27925,log0,508,419,411,3
220,27985,log0,509,420,412,3
221,28045,log0,510,421,413,3
222,28105,log0,511,422,414,3
223,28165,log0,512,423,415,3
224,28225,log0,513,424,416,3
225,28285,log0,514,425,417,3
226,28345,log0,515,426,418,3
227,28405,log0,516,427,419,3
228,28465,log0,517,428,420,3
229,28525,log0,518,429,421,3
230,28585,log0,519,430,422,3
231,28645,log0,520,431,423,3
232,28705,log0,521,432,424,3
233,28765,log0,522,433,425,3
234,28825,log0,523,434,426,3
235,28885,log0,524,435,427,3
236,28945,log0,525,436,428,3
237,29005,log0,526,437,429,3
238,29065,log0,527,438,430,3
239,29125,log0,528,439,431,3
240,29185,log0,528,439,431,3
241,29245,log0,528,439,431,3
242,29305,log0,528,439,431,3
243,29365,log0,528,439,431,3
244,29425,log0,528,439,431,3
245,29485,log0,528,439,431,3
