,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
83,13436,0,180.0,108.0,106.0,0.0,44.0,,,,,
84,20540,1,,,,,,218.0,217.0,106.0,107.0,44.0
85,13486,0,180.0,109.0,107.0,0.0,44.0,,,,,
86,20590,1,,,,,,219.0,218.0,107.0,107.0,41.0
87,13536,0,181.0,109.0,107.0,0.0,44.0,,,,,
88,20640,1,,,,,,220.0,219.0,107.0,108.0,41.0
89,13586,0,181.0,109.0,107.0,0.0,44.0,,,,,
90,20690,1,,,,,,221.0,220.0,108.0,108.0,40.0
91,13636,0,182.0,110.0,108.0,0.0,41.0,,,,,
92,20740,1,,,,,,222.0,221.0,108.0,109.0,41.0
93,13686,0,183.0,111.0,109.0,0.0,40.0,,,,,
94,20790,1,,,,,,223.0,222.0,109.0,109.0,42.0
95,13736,0,183.0,111.0,109.0,0.0,40.0,,,,,
96,20840,1,,,,,,224.0,223.0,109.0,110.0,43.0
97,13786,0,184.0,112.0,110.0,0.0,43.0,,,,,
98,20890,1,,,,,,225.0,224.0,110.0,110.0,44.0
99,13836,0,184.0,112.0,110.0,0.0,43.0,,,,,
100,20940,1,,,,,,226.0,225.0,110.0,111.0,44.0
101,13886,0,185.0,113.0,111.0,0.0,44.0,,,,,
102,20990,1,,,,,,227.0,226.0,111.0,111.0,43.0
103,13936,0,185.0,113.0,111.0,0.0,44.0,,,,,
104,21040,1,,,,,,228.0,227.0,111.0,112.0,43.0
105,13986,0,186.0,114.0,112.0,0.0,44.0,,,,,
106,21090,1,,,,,,229.0,228.0,112.0,112.0,42.0
107,14036,0,186.0,114.0,112.0,0.0,44.0,,,,,
108,21140,1,,,,,,230.0,229.0,112.0,113.0,42.0
109,14086,0,187.0,115.0,113.0,0.0,42.0,,,,,
110,21190,1,,,,,,231.0,230.0,113.0,113.0,41.0
111,14136,0,187.0,115.0,113.0,0.0,42.0,,,,,
112,21240,1,,,,,,232.0,231.0,113.0,114.0,41.0
113,14186,0,188.0,116.0,114.0,0.0,42.0,,,,,
114,21290,1,,,,,,233.0,232.0,114.0,114.0,44.0
115,14236,0,188.0,116.0,114.0,0.0,42.0,,,,,
116,21340,1,,,,,,234.0,233.0,114.0,115.0,44.0
117,14286,0,189.0,117.0,115.0,0.0,45.0,,,,,
118,21390,1,,,,,,235.0,234.0,115.0,115.0,43.0
119,14336,0,189.0,117.0,115.0,0.0,45.0,,,,,
120,21440,1,,,,,,236.0,235.0,115.0,116.0,43.0
121,14386,0,190.0,118.0,116.0,0.0,44.0,,,,,
122,21490,1,,,,,,237.0,236.0,116.0,116.0,43.0
123,14436,0,190.0,118.0,116.0,0.0,44.0,,,,,
124,21540,1,,,,,,238.0,237.0,116.0,117.0,43.0
125,14486,0,191.0,119.0,117.0,0.0,43.0,,,,,
126,21590,1,,,,,,239.0,238.0,117.0,117.0,42.0
127,14536,0,191.0,119.0,117.0,0.0,43.0,,,,,
128,21640,1,,,,,,240.0,239.0,117.0,118.0,41.0
129,14586,0,192.0,120.0,118.0,0.0,43.0,,,,,
130,21690,1,,,,,,241.0,240.0,118.0,118.0,43.0
131,14636,0,192.0,120.0,118.0,0.0,43.0,,,,,
132,21740,1,,,,,,242.0,241.0,118.0,119.0,43.0
133,14686,0,193.0,121.0,119.0,0.0,44.0,,,,,
134,21790,1,,,,,,243.0,242.0,119.0,119.0,44.0
135,14736,0,193.0,121.0,119.0,0.0,44.0,,,,,
136,21840,1,,,,,,244.0,243.0,119.0,120.0,44.0
137,14786,0,194.0,122.0,120.0,0.0,45.0,,,,,
138,21890,1,,,,,,245.0,244.0,120.0,120.0,44.0
139,14836,0,194.0,122.0,120.0,0.0,45.0,,,,,
140,21940,1,,,,,,246.0,245.0,120.0,121.0,44.0
141,14886,0,195.0,123.0,121.0,0.0,44.0,,,,,
142,21990,1,,,,,,247.0,246.0,121.0,121.0,43.0
143,14936,0,195.0,123.0,121.0,0.0,44.0,,,,,
144,22040,1,,,,,,248.0,247.0,121.0,122.0,44.0
145,14986,0,196.0,124.0,122.0,0.0,43.0,,,,,
