,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distReal1,UAV1x,UAV1y,UAV1z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,Statistic.distReal3
151,53678,1,410.0,406.0,400.0,1.0,123.0,0.0,0.9426622,-0.8060175,0.5023989,0.012629109,0.22271943,0.48458892,1.3869313069083904,,,,,,
152,53778,1,411.0,407.0,401.0,1.0,131.0,0.0,0.93928957,-0.80513173,0.5036418,-0.036479417,0.27965316,0.4789737,1.4592778447182537,,,,,,
153,43547,0,,,,,,,0.93929154,-0.80533683,0.5039583,-0.047640312,0.29224712,0.47947147,1.4762536225915088,513.0,408.0,401.0,3.0,129.0,0.0
154,43647,0,,,,,,,0.93881506,-0.80432415,0.5026868,-0.09173517,0.33533433,0.48039803,1.5366691168102717,514.0,409.0,402.0,3.0,134.0,0.0
155,53878,1,412.0,408.0,402.0,1.0,136.0,0.0,0.93871486,-0.8042929,0.5027487,-0.098457865,0.34026602,0.48366013,1.5447027620607434,,,,,,
156,43747,0,,,,,,,0.93729633,-0.80369675,0.50389415,-0.15189548,0.41545287,0.49577212,1.6348487556871252,515.0,410.0,403.0,3.0,145.0,0.0
157,53978,1,413.0,409.0,403.0,1.0,148.0,0.0,0.9371863,-0.8035964,0.50378853,-0.15766914,0.42276567,0.4972868,1.6439934338858702,,,,,,
158,43847,0,,,,,,,0.9365443,-0.8023358,0.50256705,-0.20531856,0.48629352,0.5086281,1.7217586950703554,516.0,411.0,404.0,3.0,156.0,0.0
159,54078,1,414.0,410.0,404.0,1.0,159.0,0.0,0.9362827,-0.8026234,0.50319535,-0.21148445,0.4948644,0.507234,1.732299122150032,,,,,,
160,43947,0,,,,,,,0.93472844,-0.80110675,0.50296193,-0.25560287,0.5414216,0.5165339,1.7942840492713572,517.0,412.0,405.0,3.0,165.0,0.0
161,54178,1,415.0,411.0,405.0,1.0,167.0,0.0,0.9350135,-0.80168474,0.5034095,-0.26099464,0.5458598,0.5185386,1.801815902987876,,,,,,
162,44047,0,,,,,,,0.9327761,-0.8003519,0.50277525,-0.3041719,0.61843026,0.52500165,1.8824126615158188,518.0,413.0,406.0,3.0,171.0,0.0
163,54278,1,416.0,412.0,406.0,1.0,173.0,0.0,0.9334775,-0.80082434,0.50353223,-0.3192763,0.62445074,0.52455306,1.8976941713893538,,,,,,
164,44147,0,,,,,,,0.93283284,-0.80009544,0.5030053,-0.34181827,0.6713702,0.5252794,1.946905855647526,519.0,414.0,407.0,3.0,179.0,0.0
165,54378,1,417.0,413.0,407.0,1.0,182.0,0.0,0.9324382,-0.8010121,0.50472194,-0.34628493,0.67642045,0.5250587,1.9540606856982152,,,,,,
166,44247,0,,,,,,,0.9317507,-0.79974,0.5038215,-0.39376092,0.74036413,0.52338606,2.0320641767413483,520.0,415.0,408.0,3.0,186.0,0.0
167,54478,1,418.0,414.0,408.0,1.0,188.0,0.0,0.93243825,-0.7995538,0.50246984,-0.39891776,0.74667776,0.5225735,2.040525658083657,,,,,,
168,44347,0,,,,,,,0.9333497,-0.7982307,0.50071216,-0.44882268,0.8093505,0.520147,2.120163961991377,521.0,416.0,409.0,3.0,197.0,0.0
169,54578,1,419.0,415.0,409.0,1.0,200.0,0.0,0.9333869,-0.79832643,0.50051373,-0.4527846,0.8170661,0.5192345,2.128688532883005,,,,,,
170,44447,0,,,,,,,0.9345889,-0.7975653,0.50010824,-0.49900886,0.87552017,0.5160532,2.2033319835071405,522.0,417.0,410.0,3.0,205.0,0.0
171,54678,1,420.0,416.0,410.0,1.0,207.0,0.0,0.9345553,-0.797537,0.5002092,-0.5043332,0.8820414,0.5158555,2.211702680173828,,,,,,
172,44547,0,,,,,,,0.9366816,-0.7959634,0.4964743,-0.54933983,0.937807,0.51274735,2.2835245704463856,523.0,418.0,411.0,3.0,213.0,0.0
173,54778,1,421.0,417.0,411.0,1.0,214.0,0.0,0.9383048,-0.7926672,0.49517834,-0.55440253,0.9442164,0.5126198,2.290249751841527,,,,,,
174,44647,0,,,,,,,0.9373347,-0.79431194,0.49549997,-0.5939402,0.99190813,0.5117274,2.3527958571664627,524.0,419.0,412.0,3.0,219.0,0.0
175,54878,1,422.0,418.0,412.0,1.0,222.0,0.0,0.93835413,-0.79349107,0.49423715,-0.59726423,0.9966569,0.5117674,2.3586141738534603,,,,,,
176,44747,0,,,,,,,0.93826485,-0.79160374,0.4928561,-0.6324551,1.0282376,0.5131853,2.404037672011236,525.0,420.0,413.0,3.0,230.0,0.0
177,54978,1,423.0,419.0,413.0,1.0,232.0,0.0,0.9378398,-0.79173875,0.4931806,-0.6267894,1.0309914,0.5102444,2.4022283448628996,,,,,,
178,44847,0,,,,,,,0.9393003,-0.7898404,0.49050513,-0.64125675,1.0473366,0.5048619,2.423548299022791,526.0,421.0,414.0,3.0,234.0,0.0
179,55078,1,424.0,420.0,414.0,1.0,235.0,0.0,0.93990827,-0.7900685,0.49064586,-0.64184034,1.0483202,0.5042146,2.4252393084105917,,,,,,
180,55178,1,425.0,421.0,415.0,1.0,238.0,0.0,0.94008446,-0.79040414,0.49118724,-0.64615244,1.0526948,0.49750295,2.4317074328179182,,,,,,
181,55278,1,426.0,422.0,416.0,1.0,237.0,0.0,0.94161934,-0.7937073,0.49317956,-0.6453769,1.0500289,0.49071217,2.432678866771237,,,,,,
182,55378,1,427.0,423.0,417.0,1.0,239.0,0.0,0.94305146,-0.7981926,0.49513856,-0.64281505,1.0465267,0.48801282,2.432696536551546,,,,,,
183,55478,1,428.0,424.0,418.0,1.0,238.0,0.0,0.94268864,-0.80609816,0.4982795,-0.6414576,1.0443501,0.48888844,2.435932416769387,,,,,,
184,55578,1,429.0,425.0,419.0,1.0,237.0,0.0,0.941212,-0.81311965,0.5002864,-0.6432051,1.0475142,0.49151683,2.4438520395578673,,,,,,
185,55678,1,430.0,426.0,420.0,1.0,238.0,0.0,0.93966365,-0.8190353,0.50197375,-0.64790344,1.0547942,0.49305385,2.4559490564677535,,,,,,
186,55778,1,431.0,427.0,421.0,1.0,237.0,0.0,0.93754214,-0.8245677,0.5035126,-0.6568479,1.0654624,0.4937711,2.47272885303159,,,,,,
187,55878,1,432.0,428.0,422.0,1.0,241.0,0.0,0.9347915,-0.8278576,0.50530636,-0.66628283,1.0766191,0.4936281,2.4880930757243953,,,,,,
188,55978,1,433.0,429.0,423.0,1.0,242.0,0.0,0.9338637,-0.83001596,0.5037499,-0.6756777,1.0870167,0.4934552,2.503146818652827,,,,,,
189,56078,1,434.0,430.0,424.0,1.0,247.0,0.0,0.9312821,-0.83122295,0.50450444,-0.6844042,1.0975937,0.49344754,2.5161275359145816,,,,,,
190,56178,1,435.0,431.0,425.0,1.0,244.0,0.0,0.932324,-0.8283971,0.49991265,-0.692047,1.1077299,0.4942052,2.5272913257578105,,,,,,
191,56278,1,436.0,432.0,426.0,1.0,247.0,0.0,0.9257488,-0.82926536,0.500312,-0.6954294,1.1129607,0.49301636,2.529923686336534,,,,,,
192,56378,1,437.0,433.0,427.0,1.0,251.0,0.0,0.92402965,-0.8254139,0.49678665,-0.68982863,1.1101723,0.49163923,2.5201307211946062,,,,,,
193,56478,1,438.0,434.0,428.0,1.0,251.0,0.0,0.9219642,-0.8211786,0.49396253,-0.6706287,1.0882447,0.48664606,2.486423814303126,,,,,,
194,56578,1,439.0,435.0,429.0,1.0,246.0,0.0,0.92617655,-0.81022596,0.4830826,-0.63707274,1.0474727,0.47858745,2.4279236225987746,,,,,,
195,56678,1,440.0,436.0,430.0,1.0,240.0,0.0,0.91852695,-0.808652,0.48901647,-0.59628654,0.995519,0.47073662,2.355849472059342,,,,,,
196,56778,1,441.0,437.0,431.0,1.0,230.0,0.0,0.9146379,-0.7995839,0.48647523,-0.53852266,0.9193006,0.46608528,2.2509231603973907,,,,,,
197,56878,1,442.0,438.0,432.0,1.0,220.0,0.0,0.91398436,-0.7905217,0.48353046,-0.4882811,0.85465723,0.46663612,2.161769509638842,,,,,,
198,56978,1,443.0,439.0,433.0,1.0,206.0,0.0,0.9094553,-0.77969205,0.48321968,-0.42579028,0.775334,0.47256088,2.0496586244906383,,,,,,
199,57078,1,444.0,440.0,434.0,1.0,197.0,0.0,0.90826523,-0.76898766,0.48185727,-0.369366,0.707204,0.4798175,1.95230315605417,,,,,,
