,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distSrc1,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,Statistic.distSrc2,UAV1x,UAV1y,UAV1z,UAV2x,UAV2y,UAV2z
0,33271,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3601658,1.1396769,-0.0015996349,-0.79118025,1.1679395,0.058475118
1,33311,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3605579,1.1393924,-0.0014112451,-0.79151136,1.1675504,0.058554992
2,33351,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3604656,1.1395829,-0.0012711331,-0.7915643,1.1678528,0.058474407
3,33391,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3599166,1.1398729,-0.0014574503,-0.79141295,1.1668271,0.05841561
4,33431,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3599278,1.1398892,-0.0012517142,-0.7917497,1.1666696,0.058458216
5,33471,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3602304,1.1396065,-0.000672993,-0.7919059,1.1660706,0.058451246
6,33511,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3604617,1.1393018,-0.00011761637,-0.7918049,1.16609,0.058335062
7,33551,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3597869,1.1394746,-0.0006932619,-0.7915814,1.1659814,0.05829292
8,33591,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3597687,1.1393667,-0.0005229184,-0.7915793,1.1660112,0.058250353
9,33631,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3586253,1.1386172,0.00011349738,-0.79109955,1.166576,0.058960192
10,33671,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3575234,1.1377685,0.0005684097,-0.79074955,1.1670885,0.059214957
11,33711,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3569815,1.1367438,0.0011500599,-0.79066676,1.1675093,0.059710626
12,33751,log0,424,16,3,5,-1,255,0,0,0,0,-1,255,1.3560326,1.1361152,0.0020355221,-0.79025614,1.1687949,0.06099652
13,33791,log0,742,17,3,5,-1,255,0,0,0,0,-1,255,1.3554071,1.1347092,0.004313413,-0.7904614,1.1699684,0.062416527
14,33831,log0,743,18,3,5,-1,255,0,0,0,0,-1,255,1.3563689,1.1328864,0.00994258,-0.79094774,1.171817,0.067908265
15,33871,log0,743,18,3,5,-1,255,0,0,0,0,-1,255,1.3591962,1.1320806,0.019235026,-0.79318863,1.1734627,0.08064111
16,33911,log0,744,19,4,5,220,1,0,0,0,0,-1,255,1.3631301,1.1322703,0.025747374,-0.7952551,1.1737747,0.08978883
17,33951,log0,745,20,4,6,220,2,0,0,0,0,-1,255,1.3692602,1.1340584,0.03500861,-0.79815865,1.1728266,0.10536713
18,33991,log0,746,21,5,6,216,1,0,0,0,0,-1,255,1.3784418,1.137245,0.046745785,-0.80210334,1.1703804,0.12361172
19,34031,log0,746,21,5,6,216,1,0,0,0,0,-1,255,1.3925222,1.1423361,0.063488714,-0.80666,1.1663734,0.14997406
