Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5,Ranging.distTo7,Ranging.truthDistTo7,T
116,120.5737991,110,114.203804,193,208.4415131,147,160.5793304,4.62
117,122.027092,111,114.3661499,191,208.4415131,146,160.275238,4.68
118,123.2547073,114,112.3999176,195,208.4415131,148,160.275238,4.74
120,123.2547073,116,111.3557053,196,208.4415131,147,160.9297638,4.8
122,127.4007721,117,112.84832,204,216.4226837,145,160.9297638,4.86
120,123.9235229,119,130.0620117,203,209.864563,136,160.9297638,4.92
117,122.2480469,122,132.9049835,219,207.6294556,135,145.8632355,4.98
119,124.3353806,123,131.4801941,230,210.6251678,133,141.9946899,5.04
132,126.0838547,127,132.4736481,224,210.3677826,136,145.3735809,5.1
133,126.0838547,127,132.3512268,223,212.9068451,135,146.6701355,5.16
134,123.7726822,130,141.0804291,223,207.7083435,134,146.9993744,5.22
133,125.7525558,134,143.3835449,221,207.0061035,125,136.3201752,5.28
132,125.7698746,135,141.7577515,220,205.2400665,123,138.442337,5.34
130,124.9847794,138,145.9792633,219,209.8715363,125,135.05336,5.4
128,123.8707047,139,146.9445496,213,211.4149933,125,137.0661469,5.46
127,123.5306244,140,146.6896973,213,212.7351532,126,135.5215454,5.52
126,119.6376419,141,146.3858185,216,210.4720459,126,133.7501678,5.58
123,118.4291992,141,145.727066,216,212.3843994,123,133.6825409,5.64
124,117.1970444,140,146.2682648,218,213.9491272,122,133.6825409,5.7
115,110.1839752,140,140.2550354,219,210.0694427,120,135.0939026,5.76
116,108.2272415,134,137.7542419,218,208.2784271,121,131.6590424,5.82
107,108.2272415,129,137.7542419,214,208.5660706,122,129.4454041,5.88
107,103.1219406,126,137.7542419,212,210.2701874,119,130.4727631,5.94
113,101.955452,123,137.7542419,214,209.8401031,121,130.4727631,6
112,101.2399063,117,136.5050507,214,209.4632263,120,127.0321426,6.06
92,100.1205215,116,135.7617035,211,207.9671021,119,127.1890488,6.12
93,99.21193695,116,135.7617035,208,207.9671021,119,127.1890488,6.18
103,98.30183411,113,135.7617035,209,207.9671021,119,124.3396835,6.24
103,97.82160187,108,135.7617035,221,207.9671021,119,121.107254,6.3
92,97.45789337,113,135.8634186,230,202.0926971,116,120.5605087,6.36
93,97.31118011,115,135.6812439,224,201.485733,115,120.5605087,6.42
94,97.38693237,112,135.9854584,213,201.485733,117,120.5605087,6.48
92,97.79316711,106,136.7390594,205,201.485733,116,120.5605087,6.54
110,97.79316711,105,136.7390594,202,201.485733,119,120.5605087,6.6
111,97.79316711,104,136.7390594,202,192.8407135,119,120.5605087,6.66
109,97.79316711,104,136.7390594,198,192.6612091,123,111.5468674,6.72
108,97.79316711,104,136.7390594,195,192.6612091,122,110.4510193,6.78
89,97.79316711,103,136.7390594,193,190.0926666,122,110.1402893,6.84
90,101.1853104,105,136.7390594,193,190.0926666,122,108.8880234,6.9
