Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5,Ranging.distTo7,Ranging.truthDistTo7
77,98.788818359375,96,163.89126586914062,-1,-1.0,399,199.66529846191406
77,98.70641326904297,95,164.24935913085938,-1,-1.0,399,199.8546142578125
81,98.65055084228516,95,164.24935913085938,-1,-1.0,399,199.8546142578125
81,98.65055084228516,96,164.24383544921875,-1,-1.0,399,199.31044006347656
81,98.15937042236328,96,164.83746337890625,-1,-1.0,399,199.31044006347656
81,98.80311584472656,95,164.77874755859375,-1,-1.0,399,199.31044006347656
81,98.61738586425781,93,164.80918884277344,-1,-1.0,399,199.31044006347656
75,98.19377899169922,95,164.2611846923828,-1,-1.0,399,199.31044006347656
75,98.73491668701172,95,164.2611846923828,-1,-1.0,399,199.31044006347656
75,98.73491668701172,95,164.2405242919922,-1,-1.0,399,199.31044006347656
87,98.28085327148438,93,164.29920959472656,-1,-1.0,399,199.31044006347656
87,98.71812438964844,91,164.30381774902344,-1,-1.0,399,199.31044006347656
76,98.69898223876953,93,163.89015197753906,-1,-1.0,399,199.31044006347656
76,98.6207046508789,94,164.2886962890625,-1,-1.0,399,199.31044006347656
76,98.6207046508789,94,164.2886962890625,-1,-1.0,399,199.31044006347656
76,98.6207046508789,97,164.2886962890625,-1,-1.0,399,199.31044006347656
76,98.6207046508789,94,164.28872680664062,-1,-1.0,399,199.31044006347656
82,98.53748321533203,95,164.28134155273438,-1,-1.0,399,199.31044006347656
81,98.70780944824219,98,163.8773193359375,-1,-1.0,399,199.31044006347656
84,98.3499526977539,94,163.87391662597656,-1,-1.0,399,199.31044006347656
84,98.6893539428711,94,163.87391662597656,-1,-1.0,399,199.31044006347656
84,98.6893539428711,92,164.2730712890625,-1,-1.0,399,199.31044006347656
75,98.61183166503906,92,164.2582550048828,-1,-1.0,399,199.31044006347656
75,98.17993927001953,94,164.24085998535156,-1,-1.0,399,199.31044006347656
74,98.791259765625,94,163.86619567871094,-1,-1.0,399,199.31044006347656
74,98.79471588134766,93,163.89266967773438,-1,-1.0,399,199.31044006347656
78,98.63240051269531,93,163.89266967773438,-1,-1.0,399,199.31044006347656
78,98.63240051269531,92,164.27293395996094,-1,-1.0,399,199.31044006347656
78,98.63240051269531,92,164.26287841796875,-1,-1.0,399,199.31044006347656
72,98.61991119384766,92,164.85931396484375,-1,-1.0,399,199.31044006347656
72,98.52197265625,93,164.85931396484375,-1,-1.0,399,199.31044006347656
82,98.97061920166016,96,164.8140869140625,-1,-1.0,399,199.31044006347656
83,98.637939453125,96,164.8140869140625,-1,-1.0,399,199.31044006347656
83,98.637939453125,98,164.83749389648438,-1,-1.0,399,199.31044006347656
79,99.0412826538086,94,164.23486328125,-1,-1.0,399,199.31044006347656
78,98.97640991210938,92,163.91604614257812,-1,-1.0,399,199.31044006347656
79,98.67464447021484,98,163.90777587890625,-1,-1.0,399,199.31044006347656
