Ranging.distTo1,Ranging.truthDistTo1,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5
91,89,143,134,112,129
108,89,144,134,109,127
108,89,151,134,106,126
111,95,152,136,103,119
109,94,151,133,103,119
109,94,151,133,98,121
106,94,153,131,90,119
109,94,154,133,85,118
100,97,152,134,87,115
103,97,152,131,89,115
102,97,149,131,89,115
102,97,149,131,93,115
104,97,153,131,93,114
106,97,151,134,92,114
110,103,149,132,91,113
112,106,149,138,93,112
110,106,150,131,93,112
110,106,150,131,93,111
112,107,155,131,94,110
112,107,156,130,91,116
113,107,150,128,91,117
116,111,142,132,92,110
117,112,144,131,92,110
117,112,144,131,91,110
117,112,139,131,90,113
120,112,136,131,89,116
124,116,140,129,89,114
122,117,135,128,85,113
122,118,136,125,85,113
122,118,136,125,87,113
124,120,138,123,87,115
126,121,136,128,89,109
128,121,137,124,83,106
128,125,136,128,88,110
128,125,136,128,88,110
128,125,136,128,88,111
130,125,139,130,91,112
134,128,138,130,94,111
133,125,139,128,98,116
135,124,141,131,99,116
132,122,146,132,99,116
132,122,146,132,107,117
128,122,150,132,105,121
128,120,146,128,106,123
127,118,148,129,105,125
125,117,145,128,104,125
128,114,145,128,104,125
128,114,145,128,104,128
122,114,144,131,106,127
118,111,141,129,105,128
118,111,145,128,103,130
114,111,144,131,106,131
114,110,140,130,106,131
114,110,140,130,108,125
114,107,144,126,107,127
113,106,139,128,110,127
112,105,143,126,107,123
111,104,143,128,106,124
109,104,138,129,106,124
109,104,138,129,108,123
111,104,147,129,109,119
112,104,144,127,106,121
110,104,146,127,104,121
110,104,144,129,113,119
111,104,142,129,113,119
111,104,142,129,100,119
110,108,141,131,95,115
110,108,142,131,94,115
110,108,141,130,97,114
112,105,140,127,97,118
113,105,139,124,97,118
113,105,139,124,102,116
114,105,138,124,103,119
115,105,139,124,106,119
116,103,141,122,100,116
125,104,137,125,99,118
127,104,136,128,99,118
127,104,136,128,100,118
136,104,133,122,98,117
147,104,136,124,97,118
161,105,135,124,98,115
165,105,134,120,96,117
161,105,134,128,96,117
161,105,134,128,98,117
182,105,136,125,98,117
185,105,138,125,99,117
188,105,136,121,100,113
194,105,138,125,95,113
205,105,139,125,95,113
205,105,139,125,95,116
204,105,137,123,96,118
210,105,139,123,95,118
206,106,141,122,97,119
203,105,146,128,99,119
207,105,146,128,99,119
207,105,146,128,100,119
210,105,147,131,100,116
208,105,142,126,101,120
208,108,149,131,104,116
199,105,142,127,103,120
204,105,144,126,103,120
204,105,144,126,100,121
204,104,144,128,103,120
203,104,154,133,99,120
205,104,147,129,101,120
207,109,143,131,102,119
210,106,152,127,102,119
210,106,152,127,99,119
209,106,144,126,102,119
229,106,150,126,107,118
223,107,152,125,105,119
233,107,147,125,105,118
237,106,146,125,105,118
237,106,146,125,104,119
247,107,143,127,98,117
249,107,144,125,101,116
251,111,138,126,100,112
262,111,144,121,106,112
266,111,142,125,106,112
266,111,142,125,107,112
282,111,129,125,106,112
282,111,136,114,109,114
277,108,132,112,111,113
277,108,132,115,113,113
294,260,131,110,113,113
294,260,131,110,113,113
267,264,129,115,114,116
271,266,126,115,102,116
286,270,122,115,110,116
285,270,117,115,123,114
289,274,112,120,123,114
289,274,112,120,116,115
285,274,113,108,111,119
289,281,120,105,108,119
299,280,113,101,111,124
290,280,113,100,113,125
303,280,112,95,113,125
303,280,112,95,122,124
304,280,109,94,121,124
309,280,102,93,124,125
312,280,99,92,129,125
321,280,95,92,129,125
312,282,93,94,129,125
312,282,93,94,119,125
318,282,91,94,127,125
308,281,87,90,124,128
301,279,82,90,124,128
296,282,82,90,120,124
295,283,79,90,120,124
295,283,79,90,117,124
302,283,83,92,113,124
305,283,88,92,111,119
305,283,87,93,105,119
301,283,94,97,102,113
296,280,98,98,102,113
296,280,98,98,109,113
295,280,98,100,105,113
298,280,103,100,106,110
301,280,107,105,98,111
294,280,109,105,96,105
295,280,110,107,96,105
295,280,110,107,83,105
293,278,111,106,79,104
293,277,114,111,87,104
295,275,112,111,94,104
295,275,114,113,82,104
292,278,115,112,82,104
292,278,115,112,82,106
